id,difficulty
0,C2
1,B1
2,A2
3,A2
4,C2
5,C2
6,A1
7,A2
8,C2
9,A2
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B1
17,A2
18,A2
19,A1
20,C2
21,B2
22,C1
23,B2
24,B1
25,C2
26,A1
27,A1
28,C2
29,B2
30,A1
31,A2
32,A2
33,A2
34,B1
35,B1
36,B2
37,A2
38,A1
39,A1
40,A2
41,C1
42,C2
43,C1
44,B2
45,C2
46,C1
47,C2
48,A1
49,A1
50,C2
51,A1
52,B1
53,A1
54,A1
55,C1
56,B2
57,C1
58,B2
59,B1
60,B2
61,A2
62,C2
63,B2
64,C1
65,B2
66,B2
67,A2
68,C2
69,C1
70,A1
71,B2
72,C1
73,B2
74,B1
75,A2
76,C1
77,C1
78,A2
79,B2
80,A2
81,A1
82,C1
83,A2
84,A1
85,C2
86,B1
87,C2
88,C1
89,B1
90,C1
91,A2
92,B1
93,C1
94,B1
95,B1
96,A2
97,A2
98,B1
99,C2
100,C2
101,C1
102,A2
103,A2
104,C2
105,B2
106,B2
107,A1
108,B1
109,C1
110,B2
111,A1
112,C2
113,B2
114,B2
115,B2
116,C2
117,A2
118,B1
119,B2
120,A2
121,B1
122,B1
123,C2
124,A1
125,C2
126,C1
127,B2
128,C1
129,B2
130,A2
131,A2
132,C1
133,C2
134,C2
135,C2
136,A2
137,C2
138,B1
139,A2
140,A2
141,C1
142,C2
143,C2
144,C1
145,C1
146,A1
147,B2
148,B2
149,B1
150,B2
151,B2
152,A1
153,B1
154,A1
155,B2
156,C2
157,A1
158,A1
159,A1
160,B1
161,A1
162,B1
163,C1
164,C2
165,C1
166,A1
167,C2
168,B1
169,B1
170,B2
171,C1
172,A1
173,A2
174,A1
175,B2
176,C1
177,B2
178,B1
179,C2
180,A1
181,C1
182,B2
183,A2
184,B2
185,B1
186,A2
187,B1
188,C1
189,C2
190,A1
191,B1
192,B2
193,B1
194,B2
195,A2
196,C1
197,B2
198,C1
199,A2
200,C1
201,B2
202,A1
203,A2
204,C2
205,A1
206,A2
207,B2
208,A1
209,A1
210,A1
211,A1
212,B1
213,C1
214,B2
215,B2
216,B2
217,C1
218,A2
219,B2
220,B1
221,B2
222,A1
223,C1
224,A1
225,C2
226,A1
227,A2
228,B1
229,A1
230,A2
231,B2
232,C2
233,A2
234,A2
235,B2
236,C2
237,B1
238,C2
239,C2
240,A2
241,B1
242,A1
243,A1
244,B1
245,A1
246,B2
247,B2
248,A2
249,B1
250,B1
251,B1
252,A1
253,C2
254,B2
255,C2
256,A2
257,A1
258,A1
259,C2
260,A2
261,A2
262,A1
263,B1
264,B2
265,B2
266,B1
267,B1
268,C2
269,C2
270,B1
271,C2
272,B1
273,C1
274,A1
275,C1
276,B2
277,C2
278,B2
279,B1
280,A1
281,C1
